,0
0,"107 tampines street 11, singapore"
1,"107a clementi street 12, singapore"
2,"116 aljunied, singapore"
3,"118a canberra cres, singapore"
4,"119 aljunied, singapore"
5,"121 paya lebar way, singapore"
6,"127 bukit merah lane 1, singapore"
7,"134 jurnog gateway road, singapore"
8,"146 silat road, singapore"
9,"152 mei ling street, singapore"
10,"155 bukit batok street 31, singapore"
11,"156 bukit batok street 31, singapore"
12,"15b lor liput, singapore"
13,"162 ang mo kio avenue 4, singapore"
14,"163 bukit merah central, singapore"
15,"163 gangsaa road, singapore"
16,"17 upper boon keng road, singapore"
17,"19 ghim moh road, singapore"
18,"2 bukit merah central, singapore"
19,"2 jalan selaseh, singapore"
20,"20 ghim moh road market & food centre, singapore"
21,"210 hougang street 21, singapore"
22,"210 toa payoh lorong 8, singapore"
23,"226d ang mo kio avenue 1, singapore"
24,"22a lorong 7 toa payoh, singapore"
25,"26 chai chee road, singapore"
26,"266 sengkang west avenue, singapore"
27,"271 bukit batok east ave 4, singapore"
28,"273 bukit batok east avenue 4, singapore"
29,"276 bangkit road, singapore"
30,"283 bukit batok east ave 3, singapore"
31,"284 bishan street 22, singapore"
32,"29 bendemeer road, singapore"
33,"29 dover crescent, singapore"
34,"3014 ubi road 1, singapore"
35,"3016 bedok north avenue 4, singapore"
36,"329 jurong east ave 1, singapore"
37,"334 sembawang close, singapore"
38,"339 ang mo kio ave 1, singapore"
39,"347 jurong east avenue 1, singapore"
40,"350a anchorvale rd, singapore"
41,"354 clement ave 2, singapore"
42,"356 hougang avenue 7, singapore"
43,"38 tampines street 11, singapore"
44,"4 cardiff grove, singapore"
45,"406 pandan gardens, singapore"
46,"418 bedok north avenue 2, singapore"
47,"433 clement ave 3, singapore"
48,"443 clementi ave 3, singapore"
49,"449 jurong west street 42, singapore"
50,"453 ang mo kio avenue 1, singapore"
51,"498 jurong west street 41, singapore"
52,"504 bishan street 13, singapore"
53,"505 ang mo kio street 53, singapore"
54,"511 bishan street 13, singapore"
55,"530 ang mo kio avenue 10, singapore"
56,"537 bedok north street 3, singapore"
57,"58 bedok north street 3, singapore"
58,"631 ang mo kio avenue 4, singapore"
59,"631 hougang ave 8, singapore"
60,"632 ang mo kio ave 4, singapore"
61,"640 bukit batok central, singapore"
62,"678 choa chu kang cres, singapore"
63,"682 hougang ave 8, singapore"
64,"686c choa chu kang cres, singapore"
65,"76 newton circus, singapore"
66,"77 bedok north road, singapore"
67,"802 tampines avenue 4, singapore"
68,"823 tampines street 81, singapore"
69,"823a tampines street 81, singapore"
70,"848 yishun street 81, singapore"
71,"89 circuit road, singapore"
72,"90 whampoa drive, singapore"
73,"91 whampoa drive, singapore"
74,"923 hougang street 91, singapore"
75,"abc brickworks, singapore"
76,"beauty world centre, singapore"
77,"bedok food centre, singapore"
78,"biomedical grove, singapore"
79,"chomp chomp food centre, singapore"
80,"east coast lagoon food village, singapore"
